City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Bozuyuk,TR,2022-04-01 13:30:12,39.9078,30.0367,78.33,26,34,28.57
102,Jamestown,US,2022-04-01 13:30:12,42.097,-79.2353,32.52,76,100,13.8
103,Ancud,CL,2022-04-01 13:30:14,-41.8697,-73.8203,58.23,79,9,2.15
104,Esperance,AU,2022-04-01 13:30:14,-33.8667,121.9,67.84,70,2,17.6
105,Poum,NC,2022-04-01 13:30:15,-20.2333,164.0167,80.51,85,100,10.76
106,Verkhoyansk,RU,2022-04-01 13:30:15,67.5447,133.385,-10.05,100,57,3.22
107,Linxia,CN,2022-04-01 13:30:16,35.6003,103.2064,44.8,28,88,9.01
108,Puerto Ayora,EC,2022-04-01 13:30:16,-0.7393,-90.3518,77.56,98,66,6.31
109,Geraldton,AU,2022-04-01 13:30:17,-28.7667,114.6,75.61,73,75,14.97
110,Ambovombe,MG,2022-04-01 13:30:17,-25.1667,46.0833,79.16,69,2,15.57
111,Yellowknife,CA,2022-04-01 13:30:18,62.456,-114.3525,-14.58,77,40,9.22
112,Nabire,ID,2022-04-01 13:30:18,-3.3667,135.4833,77.16,83,100,4.5
113,Manicore,BR,2022-04-01 13:30:19,-5.8092,-61.3003,84.0,65,71,4.18
114,Longyearbyen,SJ,2022-04-01 13:30:19,78.2186,15.6401,4.84,56,20,12.66
115,Deputatskiy,RU,2022-04-01 13:30:20,69.3,139.9,-16.44,98,49,2.8
116,Liuhe,CN,2022-04-01 13:30:20,42.2401,125.7172,33.53,44,8,4.9
117,Vila Do Maio,CV,2022-04-01 13:30:20,15.1333,-23.2167,81.39,80,3,14.74
118,Fremont,US,2022-04-01 13:30:21,37.5483,-121.9886,51.55,89,0,3.0
119,Polson,US,2022-04-01 13:30:21,47.6936,-114.1632,37.49,67,90,5.64
120,Bambous Virieux,MU,2022-04-01 13:30:22,-20.3428,57.7575,76.21,94,75,11.5
121,Tuktoyaktuk,CA,2022-04-01 13:30:23,69.4541,-133.0374,-27.4,68,0,4.61
122,Villa Bisono,DO,2022-04-01 13:30:25,19.5638,-70.8758,79.09,79,33,14.7
123,Passo De Camaragibe,BR,2022-04-01 13:30:26,-9.2368,-35.4901,83.75,77,100,5.73
124,Egvekinot,RU,2022-04-01 13:30:26,66.3167,-179.1667,4.42,86,100,12.57
125,Anadyr,RU,2022-04-01 13:30:27,64.75,177.4833,25.3,93,75,24.61
126,Fare,PF,2022-04-01 13:30:27,-16.7,-151.0167,80.89,74,30,5.12
127,Ngunguru,NZ,2022-04-01 13:30:27,-35.6167,174.5,63.55,85,12,3.09
128,Qaanaaq,GL,2022-04-01 13:30:28,77.484,-69.3632,20.34,94,99,6.96
129,Vuktyl,RU,2022-04-01 13:30:28,63.8567,57.3094,24.75,80,97,7.81
130,Sioux Lookout,CA,2022-04-01 13:30:28,50.1001,-91.917,10.47,92,100,4.61
131,Palmares Do Sul,BR,2022-04-01 13:30:29,-30.2578,-50.5097,65.23,57,100,4.88
132,High Level,CA,2022-04-01 13:30:18,58.5169,-117.136,10.51,72,75,12.66
133,Altamira,BR,2022-04-01 13:30:29,-3.2033,-52.2064,82.49,78,75,4.61
134,Gushikawa,JP,2022-04-01 13:30:30,26.3544,127.8686,65.43,64,75,11.5
135,Ponta Do Sol,PT,2022-04-01 13:30:30,32.6667,-17.1,67.01,78,84,3.36
136,Crestview,US,2022-04-01 13:31:30,30.7621,-86.5705,62.24,73,0,3.0
137,Hithadhoo,MV,2022-04-01 13:31:31,-0.6,73.0833,83.64,71,9,8.34
138,Zhaozhou,CN,2022-04-01 13:31:31,45.6833,125.3167,36.05,35,36,7.31
139,Vega De Alatorre,MX,2022-04-01 13:31:31,20.0333,-96.6333,74.07,84,31,6.42
140,Comodoro Rivadavia,AR,2022-04-01 13:31:32,-45.8667,-67.5,60.66,48,0,5.75
141,Luwuk,ID,2022-04-01 13:31:32,-0.9516,122.7875,78.28,81,30,2.01
142,Tenenkou,ML,2022-04-01 13:31:32,14.4572,-4.9169,105.84,3,100,7.43
143,Carauari,BR,2022-04-01 13:31:33,-4.8828,-66.8958,74.46,98,100,1.88
144,Hualmay,PE,2022-04-01 13:31:33,-11.0964,-77.6139,70.52,79,96,6.8
145,Cayenne,GF,2022-04-01 13:31:33,4.9333,-52.3333,77.09,1,100,4.61
146,Veraval,IN,2022-04-01 13:28:26,20.9,70.3667,81.73,67,0,10.0
147,Tuatapere,NZ,2022-04-01 13:31:34,-46.1333,167.6833,44.28,90,7,2.24
148,Nago,JP,2022-04-01 13:31:34,26.5881,127.9761,65.25,76,93,17.29
149,Kenora,CA,2022-04-01 13:31:34,49.8167,-94.4337,25.77,68,75,8.05
150,Camacha,PT,2022-04-01 13:31:35,33.0833,-16.3333,60.22,77,40,5.75
151,Srednekolymsk,RU,2022-04-01 13:31:35,67.45,153.6833,-16.92,100,98,2.91
152,Lompoc,US,2022-04-01 13:29:43,34.6391,-120.4579,53.78,86,100,8.99
153,Hirara,JP,2022-04-01 13:31:36,24.8,125.2833,68.92,78,100,22.24
154,Buala,SB,2022-04-01 13:31:36,-8.145,159.5921,76.89,94,100,10.07
155,Lesnyye Polyany,RU,2022-04-01 13:31:36,55.9667,37.8667,38.55,84,100,12.86
156,Kununurra,AU,2022-04-01 13:31:37,-15.7667,128.7333,75.18,78,99,4.61
157,Coquimbo,CL,2022-04-01 13:31:37,-29.9533,-71.3436,53.33,100,100,3.44
158,Cachoeira Do Sul,BR,2022-04-01 13:27:57,-30.0392,-52.8939,62.04,57,0,5.23
159,Kodiak,US,2022-04-01 13:31:38,57.79,-152.4072,38.71,93,100,23.02
160,Ewa Beach,US,2022-04-01 13:27:50,21.3156,-158.0072,73.44,68,0,6.91
161,Lebu,CL,2022-04-01 13:31:38,-37.6167,-73.65,58.46,74,1,14.99
162,Saint Anthony,US,2022-04-01 13:30:22,45.0205,-93.218,30.96,87,0,0.0
163,Palmer,US,2022-04-01 13:31:39,42.1584,-72.3287,50.5,79,75,6.91
164,Komsomolskiy,UZ,2022-04-01 13:31:39,40.4272,71.7189,74.12,14,0,2.3
165,Plouzane,FR,2022-04-01 13:31:39,48.3833,-4.6167,46.58,53,75,19.57
166,Taoudenni,ML,2022-04-01 13:31:40,22.6783,-3.9836,92.7,5,96,2.89
167,Khon Kaen,TH,2022-04-01 13:31:40,16.5,102.0833,73.27,72,94,4.79
168,Healdsburg,US,2022-04-01 13:31:40,38.6105,-122.8692,53.67,81,20,0.0
169,Cetate,RO,2022-04-01 13:31:41,44.1,23.05,70.48,41,100,14.88
170,Phan Thiet,VN,2022-04-01 13:31:41,10.9333,108.1,79.11,82,100,6.91
171,Doha,QA,2022-04-01 13:26:53,25.2867,51.5333,97.11,22,0,12.66
172,Praya,CV,2022-04-01 13:31:41,14.9215,-23.5087,81.14,54,0,16.11
173,Adrar,MR,2022-04-01 13:31:42,20.5022,-10.0711,89.49,8,1,4.5
174,Krasnoselkup,RU,2022-04-01 13:31:42,65.7,82.4667,18.03,89,100,14.23
175,Cidreira,BR,2022-04-01 13:31:42,-30.1811,-50.2056,66.24,59,87,6.38
176,Faanui,PF,2022-04-01 13:31:43,-16.4833,-151.75,81.12,72,99,6.62
177,Ventspils,LV,2022-04-01 13:31:43,57.3894,21.5606,39.13,45,0,14.97
178,Morondava,MG,2022-04-01 13:31:43,-20.2833,44.2833,84.06,64,0,9.71
179,Tabou,CI,2022-04-01 13:31:44,4.423,-7.3528,84.99,72,68,9.55
180,Kyabe,TD,2022-04-01 13:31:44,9.4515,18.9449,106.99,12,14,4.59
181,Butaritari,KI,2022-04-01 13:32:45,3.0707,172.7902,80.6,81,61,18.9
182,Avarua,CK,2022-04-01 13:32:45,-21.2078,-159.775,73.45,100,10,3.44
183,Saskylakh,RU,2022-04-01 13:32:45,71.9167,114.0833,5.13,97,98,5.82
184,Yanam,IN,2022-04-01 13:32:46,16.7333,82.2167,79.75,86,0,7.2
185,San Pedro,PH,2022-04-01 13:32:46,14.35,121.0167,81.63,76,20,5.75
186,Baiquan,CN,2022-04-01 13:32:47,47.5833,126.0833,37.31,36,100,8.93
187,Sudzha,RU,2022-04-01 13:32:47,51.1976,35.2726,57.6,75,100,8.9
188,San Cristobal,VE,2022-04-01 13:32:10,7.7669,-72.225,68.18,40,98,6.53
189,Port Hedland,AU,2022-04-01 13:31:34,-20.3167,118.5667,84.25,74,25,10.36
190,Mar Del Plata,AR,2022-04-01 13:30:04,-38.0023,-57.5575,59.88,77,0,10.36
191,Bengkulu,ID,2022-04-01 13:32:48,-3.8004,102.2655,78.62,78,45,3.29
192,Tiksi,RU,2022-04-01 13:32:48,71.6872,128.8694,14.29,96,100,6.11
193,Lakes Entrance,AU,2022-04-01 13:32:48,-37.8811,147.981,55.17,80,97,13.85
194,Savannah Bight,HN,2022-04-01 13:32:49,16.45,-85.85,80.35,80,0,22.93
195,Ziro,IN,2022-04-01 13:32:49,27.6333,93.8333,52.09,98,100,2.21
196,Kang,BW,2022-04-01 13:32:49,-23.6752,22.7876,81.32,43,98,4.94
197,Basqal,AZ,2022-04-01 13:32:50,40.7552,48.391,58.01,45,5,7.2
198,The Valley,AI,2022-04-01 13:32:50,18.217,-63.0578,82.81,65,40,17.27
199,San Juan,AR,2022-04-01 13:32:50,-31.5375,-68.5364,66.56,21,0,9.53
200,East Moline,US,2022-04-01 13:32:51,41.5009,-90.4443,33.91,70,0,9.22
201,Matoury,GF,2022-04-01 13:30:08,4.8483,-52.3317,77.02,94,100,4.61
202,Salalah,OM,2022-04-01 13:32:51,17.0151,54.0924,87.89,45,0,6.91
203,Gmunden,AT,2022-04-01 13:32:51,47.9189,13.7975,43.18,96,100,3.89
204,Kloulklubed,PW,2022-04-01 13:32:52,7.0419,134.2556,77.5,80,61,6.67
205,Myitkyina,MM,2022-04-01 13:32:52,25.3833,97.4,76.71,67,100,8.01
206,Cap-Aux-Meules,CA,2022-04-01 13:28:02,47.3821,-61.8597,35.62,93,100,20.71
207,Morden,CA,2022-04-01 13:29:57,49.1919,-98.1014,34.23,75,3,8.05
208,Igarka,RU,2022-04-01 13:32:53,67.4667,86.5833,13.8,96,100,7.05
209,Kiranur,IN,2022-04-01 13:32:53,10.5699,78.7868,92.91,53,61,13.85
210,Kaitangata,NZ,2022-04-01 13:32:53,-46.2817,169.8464,43.39,94,13,5.55
211,Teguise,ES,2022-04-01 13:32:54,29.0605,-13.564,66.42,52,75,14.97
212,Meulaboh,ID,2022-04-01 13:32:54,4.1363,96.1285,80.94,73,100,1.86
213,Marsaxlokk,MT,2022-04-01 13:32:54,35.8419,14.5431,65.01,52,40,12.66
214,Xai-Xai,MZ,2022-04-01 13:32:55,-25.0519,33.6442,83.5,62,35,14.03
215,Karlstad,SE,2022-04-01 13:32:55,59.3793,13.5036,36.16,64,40,9.22
216,Wasilla,US,2022-04-01 13:28:56,61.5814,-149.4394,30.88,86,0,4.61
217,Villarrica,PY,2022-04-01 13:32:55,-25.75,-56.4333,65.88,43,2,7.25
218,Berlevag,NO,2022-04-01 13:32:56,70.8578,29.0864,26.6,80,75,26.46
219,Manakara,MG,2022-04-01 13:32:56,-22.1333,48.0167,77.9,71,0,5.26
220,Oranjemund,NA,2022-04-01 13:32:56,-28.55,16.4333,64.65,71,0,23.78
221,Basco,PH,2022-04-01 13:32:57,20.4487,121.9702,75.42,82,100,35.95
222,Tarko-Sale,RU,2022-04-01 13:32:57,64.9225,77.785,13.77,91,16,11.07
223,Grindavik,IS,2022-04-01 13:32:57,63.8424,-22.4338,45.07,81,75,10.36
224,Wilmington,US,2022-04-01 13:31:42,34.2257,-77.9447,64.98,58,0,13.8
225,Nouadhibou,MR,2022-04-01 13:32:58,20.931,-17.0347,84.18,24,5,13.8
226,Colares,PT,2022-04-01 13:32:58,38.7992,-9.4469,61.45,49,20,24.0
227,Mapiripan,CO,2022-04-01 13:33:59,2.8892,-72.1256,84.54,61,100,2.66
228,Conde,BR,2022-04-01 13:33:59,-7.2597,-34.9075,87.26,62,75,11.5
229,Treinta Y Tres,UY,2022-04-01 13:33:59,-33.2333,-54.3833,63.84,46,10,5.7
230,Weymouth,US,2022-04-01 13:29:39,42.2209,-70.9398,55.89,91,100,16.11
231,Thiers,FR,2022-04-01 13:34:00,45.8333,3.5,41.32,94,100,12.28
232,Khatanga,RU,2022-04-01 13:34:00,71.9667,102.5,6.82,96,100,8.14
233,Bredasdorp,ZA,2022-04-01 13:34:00,-34.5322,20.0403,70.43,54,3,14.18
234,Te Anau,NZ,2022-04-01 13:34:01,-45.4167,167.7167,46.11,92,28,1.03
235,Sooke,CA,2022-04-01 13:30:22,48.3746,-123.7276,44.56,86,100,6.91
236,Andenes,NO,2022-04-01 13:34:01,69.3143,16.1194,33.93,93,100,14.97
237,Hambantota,LK,2022-04-01 13:34:02,6.1241,81.1185,82.74,89,40,4.61
238,Nioro,GM,2022-04-01 13:34:02,13.35,-15.75,104.25,11,4,6.31
239,Fortuna,US,2022-04-01 13:34:02,40.5982,-124.1573,45.93,93,100,5.75
240,Sesheke,ZM,2022-04-01 13:34:03,-17.4759,24.2968,87.12,34,26,5.19
241,San Quintin,MX,2022-04-01 13:34:03,30.4833,-115.95,57.07,71,91,5.37
242,La Primavera,CO,2022-04-01 13:34:03,5.4906,-70.4092,92.14,34,95,10.92
243,Nikolskoye,RU,2022-04-01 13:34:04,59.7035,30.7861,38.88,57,91,3.29
244,Sokoto,NG,2022-04-01 13:34:04,13.0609,5.239,105.6,4,5,3.04
245,Selma,US,2022-04-01 13:34:04,36.5708,-119.6121,53.65,93,5,1.66
246,Caravelas,BR,2022-04-01 13:34:05,-17.7125,-39.2481,84.27,63,10,6.53
247,Inuvik,CA,2022-04-01 13:34:05,68.3499,-133.7218,-21.14,72,0,2.3
248,Savalou,BJ,2022-04-01 13:34:06,7.9281,1.9756,103.32,24,81,8.68
249,Sinnamary,GF,2022-04-01 13:34:06,5.3833,-52.95,78.21,89,100,11.18
250,Saldanha,ZA,2022-04-01 13:34:06,-33.0117,17.9442,65.68,71,22,25.28
251,Talnakh,RU,2022-04-01 13:34:07,69.4865,88.3972,13.21,95,100,8.95
252,Pathein,MM,2022-04-01 13:34:07,16.7833,94.7333,78.93,81,20,8.72
253,Kuito,AO,2022-04-01 13:34:07,-12.3833,16.9333,71.49,75,83,4.74
254,Stephenville,US,2022-04-01 13:34:08,32.2207,-98.2023,52.77,71,0,5.99
255,Hasaki,JP,2022-04-01 13:34:08,35.7333,140.8333,41.4,53,96,20.2
256,Riberalta,BO,2022-04-01 13:34:09,-10.9833,-66.1,64.6,88,75,17.27
257,Maamba,ZM,2022-04-01 13:34:09,-17.3667,27.15,81.03,56,22,7.34
258,Oktyabrskiy,RU,2022-04-01 13:34:09,54.4815,53.471,35.49,100,100,1.03
259,Nisporeni,MD,2022-04-01 13:34:10,47.0814,28.1783,76.59,33,48,18.63
260,Mporokoso,ZM,2022-04-01 13:34:10,-9.3727,30.125,73.47,75,81,4.0
261,Upernavik,GL,2022-04-01 13:34:11,72.7868,-56.1549,10.33,93,81,0.96
262,Ulaangom,MN,2022-04-01 13:34:11,49.9811,92.0667,16.77,93,100,3.69
263,Port Elizabeth,ZA,2022-04-01 13:34:11,-33.918,25.5701,70.11,69,75,14.97
264,Pervomayskoye,RU,2022-04-01 13:34:12,43.919,46.7102,60.22,43,56,12.91
265,Guymon,US,2022-04-01 13:34:12,36.6828,-101.4816,46.4,42,75,9.22
266,Bogolyubovo,RU,2022-04-01 13:34:13,56.1956,40.5297,32.79,91,100,12.3
267,May Pen,JM,2022-04-01 13:33:23,17.9645,-77.2451,81.61,54,4,9.35
268,Airai,TL,2022-04-01 13:34:13,-8.9266,125.4092,59.16,90,83,1.66
269,Jalu,LY,2022-04-01 13:34:14,29.0331,21.5482,87.31,15,100,14.72
270,Winslow,US,2022-04-01 13:34:14,35.0242,-110.6974,35.78,69,0,4.61
271,Mandera,KE,2022-04-01 13:35:14,3.9366,41.867,101.19,19,88,6.49
272,Namibe,AO,2022-04-01 13:35:15,-15.1961,12.1522,76.48,70,86,10.54
273,Dayong,CN,2022-04-01 13:35:15,25.0209,118.2898,56.77,72,100,4.47
274,Buchanan,LR,2022-04-01 13:35:15,5.8808,-10.0467,86.74,65,82,9.75
