City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
241,Georgetown,MY,82.35,5.4112,100.3354,Cititel Penang
244,Salalah,OM,87.89,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
245,Cilegon,ID,80.08,-6.0174,106.0538,Forbis Hotel
248,Mahebourg,MU,84.49,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
250,Maxixe,MZ,77.59,-23.8597,35.3472,Oceano
252,Acarau,BR,83.07,-2.8856,-40.12,castelo pizzaria
253,Grand-Santi,GF,78.17,4.25,-54.3833,Hotel La Villa Couacou
254,Morros,BR,83.52,-9.4467,-46.3003,
259,Neiafu,TO,75.88,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
260,Kasongo,CD,87.94,-4.45,26.6667,Guest Hôtel
261,Villa Bruzual,VE,84.96,9.3328,-69.1208,hotel italia
263,Tabou,CI,86.88,4.423,-7.3528,hotêl doufoulougou
270,Mogadishu,SO,87.67,2.0371,45.3438,Hotel Juba
273,Sao Joao Da Barra,BR,78.89,-21.6403,-41.0511,Pousada Porto De Canoas
276,Luanda,AO,86.0,-8.8368,13.2343,EPIC SANA Luanda
279,Sola,VU,82.98,-13.8833,167.55,Leumerus Bungalows
285,Arraial Do Cabo,BR,78.76,-22.9661,-42.0278,Pousada Porto Praia
286,Galle,LK,80.94,6.0367,80.217,Amangalla
291,Mitsamiouli,KM,89.89,-11.3847,43.2844,Foyer ADM
293,Baculin,PH,78.73,7.4525,126.5842,Baculin Cove Beach Resort
294,Vredendal,ZA,84.2,-31.6683,18.5012,Tharrakamma Guest House
295,Kavarna,BG,79.36,43.4333,28.3333,Вила Алегра (Villa Allegra)
296,Cockburn Town,TC,78.76,21.4612,-71.1419,Osprey Beach Hotel
298,Sambava,MG,81.64,-14.2667,50.1667,Melrose
299,San Remigio,PH,75.11,11.0809,123.9381,San Remigio Cultural Center and Leisure
306,Ugoofaaru,MV,84.47,5.6667,73.0,Ungoofaaru Inn
307,Buala,SB,80.1,-8.145,159.5921,Maringe Lagoon Lodge
309,Hwange,ZW,82.02,-18.3693,26.5019,Hwange Colliery Guest House
311,Warmbad,,82.62,-28.45,18.7333,
314,Kloulklubed,PW,83.32,7.0419,134.2556,Storyboard Beach Resort
316,Monte Aprazivel,BR,79.45,-20.7725,-49.7142,Torres Palace Hotel
318,Umm Lajj,SA,81.61,25.0213,37.2685,Moon light Furnished Units
324,Dhidhdhoo,MV,84.76,6.8833,73.1,Dhidhoo beach
331,Inhambane,MZ,77.72,-23.865,35.3833,Oceano
337,Kilis,TR,75.43,36.7161,37.115,Otel Kilis Mer-tur Otel Ve Mado Cafe
343,Souillac,MU,84.58,-20.5167,57.5167,Shanti Maurice Resort & Spa
351,Gat,IL,79.39,31.61,34.7642,OlusHome
352,Saint-Philippe,RE,83.79,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
354,Cape Coast,GH,87.08,5.1053,-1.2466,Samrit Hotel
355,Komsomolskiy,UZ,79.52,40.4272,71.7189,Ikathouse
356,Kavaratti,IN,84.24,10.5669,72.642,Hotels in Lakshadweep Islands
362,Balikpapan,ID,81.59,-1.2675,116.8289,Swiss-Belhotel Balikpapan
366,Poum,NC,80.08,-20.2333,164.0167,
371,Paracuru,BR,84.11,-3.41,-39.0306,Hotel Vento Brasil
373,Saldanha,ZA,84.25,-33.0117,17.9442,Blue Bay Lodge
374,Santa Cruz Do Capibaribe,BR,86.52,-7.9575,-36.2047,Etiqueta Hotel
376,Kismayo,SO,86.14,-0.3582,42.5454,Agan-Hotel
377,Hobyo,SO,85.15,5.3505,48.5268,Iftin hotel hobyo
379,Port Blair,IN,84.24,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
380,Faanui,PF,82.04,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
381,Tanete,ID,75.15,-3.9443,119.7848,Wisma Tri Multi
383,Bonthe,SL,85.33,7.5264,-12.505,Bonthe Holiday Village
384,Bubaque,GW,76.03,11.2833,-15.8333,"Casa Dora, Bubaque"
385,Lucea,JM,80.85,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
388,Batticaloa,LK,81.79,7.7102,81.6924,Grand Star Guest House
396,Manoel Urbano,BR,75.67,-8.8389,-69.2597,Baixada Beira Rio
398,Lorengau,PG,79.21,-2.0226,147.2712,Lorengau Harbourside Hotel
400,Lhokseumawe,ID,80.94,5.1801,97.1507,OYO 3278 Penginapan Alfajri
403,Semnan,IR,80.53,35.5729,53.3971,Semnan Tourist Hotel
409,Sabang,ID,84.06,5.8933,95.3214,Hotel Citra
415,Dwarka,IN,85.19,22.2394,68.9678,Hotel Narayan Avezika Comfort
